customer,month,mrr
Customer 088,2025-01,1656.65
Customer 089,2025-01,1679.59
Customer 090,2025-01,1460.85
Customer 091,2025-01,1926.16
Customer 092,2025-01,862.85
Customer 093,2025-01,1980.17
Customer 094,2025-01,921.52
Customer 095,2025-01,1316.08
Customer 096,2025-01,2533.13
Customer 097,2025-01,665.67
Customer 098,2025-01,3633.03
Customer 099,2025-01,1260.74
Customer 100,2025-01,4900.49
Customer 101,2025-01,2036.01
Customer 102,2025-01,746.74
Customer 103,2025-01,750.82
Customer 104,2025-01,3293.7
Customer 105,2025-01,4519.86
Customer 106,2025-01,760.14
Customer 107,2025-01,1140.22
Customer 108,2025-01,1390.06
Customer 109,2025-01,521.67
Customer 110,2025-01,1311.59
Customer 111,2025-01,10979.0
Customer 112,2025-01,611.3
Customer 113,2025-01,2315.65
Customer 114,2025-01,3404.0
Customer 115,2025-01,873.09
Customer 116,2025-01,1664.7
Customer 117,2025-01,2004.13
Customer 118,2025-01,4606.45
Customer 119,2025-01,1167.33
Customer 120,2025-01,646.68
Customer 121,2025-01,886.55
Customer 122,2025-01,1063.44
Customer 123,2025-01,1590.14
Customer 124,2025-01,7861.18
Customer 125,2025-01,1973.69
Customer 126,2025-01,1579.21
Customer 127,2025-01,1276.14
Customer 128,2025-01,1121.83
Customer 129,2025-01,778.79
Customer 130,2025-01,446.34
Customer 131,2025-01,3306.85
Customer 132,2025-01,6018.73
Customer 133,2025-01,3161.65
Customer 134,2025-01,986.38
Customer 135,2025-01,2571.46
Customer 136,2025-01,1897.55
Customer 137,2025-01,2615.6
Customer 138,2025-01,2475.64
Customer 139,2025-01,2408.32
Customer 140,2025-01,1305.09
Customer 141,2025-01,1059.65
Customer 142,2025-01,3554.8
Customer 143,2025-01,320.23
Customer 144,2025-01,1306.84
Customer 145,2025-01,1106.54
Customer 146,2025-01,1135.01
Customer 147,2025-01,1979.12
Customer 148,2025-01,866.72
Customer 149,2025-01,2815.87
Customer 150,2025-01,12087.64
Customer 151,2025-01,1757.64
Customer 152,2025-01,16463.46
Customer 153,2025-01,585.11
Customer 154,2025-01,1308.38
Customer 155,2025-01,7737.66
Customer 156,2025-01,1663.7
Customer 157,2025-01,5234.13
Customer 158,2025-01,1918.14
Customer 159,2025-01,102.52
Customer 160,2025-01,836.37
Customer 161,2025-01,1074.74
Customer 162,2025-01,840.2
Customer 163,2025-01,635.26
Customer 164,2025-01,3178.89
Customer 165,2025-01,1380.9
Customer 166,2025-01,4870.18
Customer 167,2025-01,2397.95
Customer 168,2025-01,575.79
Customer 169,2025-01,1619.47
Customer 170,2025-01,717.4
Customer 171,2025-01,1186.64
Customer 172,2025-01,2939.02
Customer 173,2025-01,2453.28
Customer 174,2025-01,871.29
Customer 175,2025-01,34377.93
Customer 176,2025-01,786.54
Customer 177,2025-01,729.98
Customer 178,2025-01,1170.36
Customer 179,2025-01,1236.16
Customer 180,2025-01,5269.99
Customer 181,2025-01,351.83
Customer 182,2025-01,6553.89
Customer 183,2025-01,7798.56
Customer 184,2025-01,3989.87
Customer 185,2025-01,4815.92
Customer 186,2025-01,1546.7
Customer 187,2025-01,892.61
Customer 188,2025-01,3762.79
Customer 189,2025-01,4861.36
Customer 190,2025-01,920.0
Customer 191,2025-01,756.28
Customer 192,2025-01,15425.61
Customer 193,2025-01,6792.02
Customer 194,2025-01,1254.54
Customer 195,2025-01,558.91
Customer 196,2025-01,1820.19
Customer 197,2025-01,11306.32
Customer 198,2025-01,2713.2
Customer 199,2025-01,489.89
Customer 200,2025-01,301.14
Customer 201,2025-01,1535.08
Customer 202,2025-01,3129.8
Customer 203,2025-01,1214.14
Customer 204,2025-01,2110.42
Customer 205,2025-01,808.68
Customer 206,2025-01,1605.01
Customer 207,2025-01,1231.17
Customer 208,2025-01,496.59
Customer 209,2025-01,849.31
Customer 210,2025-01,3988.5
Customer 211,2025-01,3034.2
Customer 212,2025-01,6232.61
Customer 213,2025-01,8209.37
Customer 214,2025-01,6457.42
Customer 215,2025-01,5817.24
Customer 216,2025-01,1306.01
Customer 217,2025-01,2340.46
Customer 218,2025-01,1334.35
Customer 219,2025-01,1772.59
Customer 220,2025-01,4805.73
Customer 221,2025-01,1334.55
Customer 222,2025-01,11125.56
Customer 223,2025-01,926.09
Customer 224,2025-01,6902.0
Customer 225,2025-01,7506.95
Customer 226,2025-01,3998.01
Customer 227,2025-01,1459.58
Customer 228,2025-01,1689.57
Customer 229,2025-01,6998.26
Customer 230,2025-01,292.52
Customer 231,2025-01,1342.89
Customer 232,2025-01,2141.55
Customer 233,2025-01,1328.8
Customer 234,2025-01,844.26
Customer 235,2025-01,1939.44
Customer 236,2025-01,3936.95
Customer 237,2025-01,2803.87
Customer 238,2025-01,782.49
Customer 239,2025-01,2980.68
Customer 240,2025-01,1644.15
Customer 241,2025-01,3079.51
Customer 242,2025-01,2328.33
Customer 243,2025-01,2010.07
Customer 244,2025-01,656.53
Customer 245,2025-01,12669.52
Customer 246,2025-01,2250.22
Customer 247,2025-01,764.39
Customer 248,2025-01,15349.88
Customer 249,2025-01,26213.34
Customer 250,2025-01,3372.88
Customer 251,2025-01,1327.52
Customer 252,2025-01,912.74
Customer 253,2025-01,3741.97
Customer 254,2025-01,4964.58
Customer 255,2025-01,2542.54
Customer 256,2025-01,24905.35
Customer 257,2025-01,7518.92
Customer 258,2025-01,600.38
Customer 259,2025-01,17031.88
Customer 260,2025-01,1361.46
Customer 261,2025-01,1684.25
Customer 262,2025-01,2603.08
Customer 263,2025-01,1140.72
Customer 264,2025-01,2495.74
Customer 265,2025-01,1666.82
Customer 266,2025-01,2478.03
Customer 267,2025-01,4246.62
Customer 268,2025-01,1823.23
Customer 269,2025-01,7187.04
Customer 270,2025-01,576.07
Customer 271,2025-01,1854.03
Customer 272,2025-01,2226.38
Customer 273,2025-01,1216.23
Customer 274,2025-01,14312.79
Customer 275,2025-01,872.02
Customer 276,2025-01,2701.69
Customer 277,2025-01,3763.71
Customer 278,2025-01,5596.24
Customer 279,2025-01,1057.07
Customer 280,2025-01,1429.52
Customer 281,2025-01,929.29
Customer 282,2025-01,2121.72
Customer 283,2025-01,1709.48
Customer 284,2025-01,7186.26
Customer 285,2025-01,1662.46
Customer 286,2025-01,2074.7
Customer 287,2025-01,2527.96
Customer 288,2025-01,2192.46
Customer 289,2025-01,715.36
Customer 290,2025-01,1141.88
Customer 291,2025-01,1310.17
Customer 292,2025-01,2201.42
Customer 293,2025-01,2373.78
Customer 294,2025-01,1226.74
Customer 295,2025-01,1478.66
Customer 296,2025-01,745.44
Customer 297,2025-01,1356.5
Customer 298,2025-01,4405.73
Customer 299,2025-01,16695.02
Customer 300,2025-01,1781.19
Customer 301,2025-01,5849.0
Customer 302,2025-01,866.22
Customer 303,2025-01,2602.27
Customer 304,2025-01,568.69
Customer 305,2025-01,2590.64
Customer 306,2025-01,1653.28
Customer 307,2025-01,634.86
Customer 308,2025-01,8445.54
Customer 309,2025-01,2976.23
Customer 310,2025-01,1166.69
Customer 311,2025-01,4286.38
Customer 312,2025-01,1899.89
Customer 313,2025-01,758.03
Customer 314,2025-01,2401.31
Customer 315,2025-01,650.15
Customer 316,2025-01,1061.0
Customer 317,2025-01,3094.16
Customer 318,2025-01,2030.97
Customer 319,2025-01,23235.45
Customer 320,2025-01,666.16
Customer 321,2025-01,709.72
Customer 322,2025-01,3712.56
Customer 323,2025-01,1042.3
Customer 324,2025-01,3430.14
Customer 325,2025-01,486.76
Customer 326,2025-01,4872.6
Customer 327,2025-01,5138.16
Customer 328,2025-01,1781.89
Customer 329,2025-01,3678.66
Customer 330,2025-01,4668.62
Customer 331,2025-01,5188.8
Customer 332,2025-01,974.68
Customer 333,2025-01,556.24
Customer 334,2025-01,3156.13
Customer 335,2025-01,3931.22
Customer 336,2025-01,1285.4
Customer 337,2025-01,1147.11
Customer 338,2025-01,2780.31
Customer 339,2025-01,1594.78
Customer 340,2025-01,2603.8
Customer 341,2025-01,1822.42
Customer 342,2025-01,842.94
Customer 343,2025-01,5916.36
Customer 344,2025-01,1013.18
Customer 345,2025-01,1437.41
Customer 346,2025-01,1456.32
Customer 347,2025-01,2136.89
Customer 348,2025-01,3487.67
Customer 001,2025-02,574.83
Customer 002,2025-02,848.98
Customer 003,2025-02,1074.17
Customer 004,2025-02,2155.75
Customer 005,2025-02,4157.84
Customer 006,2025-02,3773.04
Customer 007,2025-02,1831.77
Customer 008,2025-02,3376.68
Customer 009,2025-02,1042.86
Customer 010,2025-02,1070.43
Customer 011,2025-02,2472.42
Customer 012,2025-02,1357.85
Customer 013,2025-02,4500.85
Customer 014,2025-02,1298.05
Customer 015,2025-02,3684.14
Customer 016,2025-02,6424.4
Customer 017,2025-02,2248.45
Customer 018,2025-02,5010.86
Customer 019,2025-02,950.0
Customer 020,2025-02,4621.22
Customer 021,2025-02,1099.9
Customer 022,2025-02,1325.41
Customer 023,2025-02,1435.52
Customer 024,2025-02,8622.6
Customer 025,2025-02,2218.79
Customer 026,2025-02,3612.22
Customer 027,2025-02,4355.02
Customer 028,2025-02,4255.12
Customer 029,2025-02,1651.2
Customer 030,2025-02,6444.07
Customer 031,2025-02,980.29
Customer 032,2025-02,816.16
Customer 033,2025-02,166.79
Customer 034,2025-02,8048.22
Customer 035,2025-02,11661.02
Customer 036,2025-02,4713.11
Customer 037,2025-02,1487.74
Customer 038,2025-02,877.47
Customer 039,2025-02,834.7
Customer 040,2025-02,3040.73
Customer 041,2025-02,31417.07
Customer 042,2025-02,461.08
Customer 043,2025-02,794.86
Customer 044,2025-02,5044.95
Customer 045,2025-02,1036.26
Customer 046,2025-02,1263.19
Customer 047,2025-02,7933.18
Customer 048,2025-02,10618.87
Customer 049,2025-02,27582.91
Customer 050,2025-02,1224.51
Customer 051,2025-02,7742.92
Customer 052,2025-02,1406.48
Customer 053,2025-02,1430.8
Customer 054,2025-02,4728.98
Customer 055,2025-02,1867.76
Customer 056,2025-02,1723.94
Customer 057,2025-02,766.37
Customer 058,2025-02,1480.46
Customer 059,2025-02,3170.82
Customer 060,2025-02,2594.6
Customer 061,2025-02,515.96
Customer 062,2025-02,7504.25
Customer 063,2025-02,2114.42
Customer 064,2025-02,461.17
Customer 065,2025-02,5831.26
Customer 066,2025-02,971.82
Customer 067,2025-02,5007.65
Customer 068,2025-02,1220.32
Customer 069,2025-02,1278.47
Customer 070,2025-02,2722.9
Customer 071,2025-02,1366.38
Customer 072,2025-02,802.18
Customer 073,2025-02,2867.82
Customer 074,2025-02,763.3
Customer 075,2025-02,2458.01
Customer 076,2025-02,2610.85
Customer 077,2025-02,3310.57
Customer 078,2025-02,2563.16
Customer 079,2025-02,9693.83
Customer 080,2025-02,3088.44
Customer 082,2025-02,971.16
Customer 083,2025-02,1015.24
Customer 084,2025-02,2716.1
Customer 085,2025-02,3147.56
Customer 086,2025-02,832.54
Customer 087,2025-02,5154.55
Customer 088,2025-02,1656.65
Customer 089,2025-02,1772.21
Customer 090,2025-02,1460.85
Customer 091,2025-02,1926.16
Customer 092,2025-02,915.97
Customer 093,2025-02,1980.17
Customer 094,2025-02,921.52
Customer 095,2025-02,1366.24
Customer 096,2025-02,2533.13
Customer 097,2025-02,705.97
Customer 098,2025-02,3633.03
Customer 099,2025-02,1260.74
Customer 100,2025-02,4900.49
Customer 101,2025-02,2036.01
Customer 102,2025-02,746.74
Customer 103,2025-02,750.82
Customer 104,2025-02,3037.7
Customer 105,2025-02,4519.86
Customer 106,2025-02,860.81
Customer 107,2025-02,1140.22
Customer 108,2025-02,1390.06
Customer 109,2025-02,521.67
Customer 110,2025-02,1311.59
Customer 111,2025-02,10979.0
Customer 112,2025-02,558.95
Customer 113,2025-02,2315.65
Customer 114,2025-02,3404.0
Customer 115,2025-02,873.09
Customer 116,2025-02,1664.7
Customer 117,2025-02,2004.13
Customer 118,2025-02,4606.45
Customer 119,2025-02,1167.33
Customer 120,2025-02,646.68
Customer 121,2025-02,886.55
Customer 122,2025-02,1063.44
Customer 123,2025-02,1590.14
Customer 124,2025-02,7861.18
Customer 125,2025-02,1973.69
Customer 126,2025-02,1712.21
Customer 127,2025-02,1276.14
Customer 128,2025-02,1121.83
Customer 129,2025-02,826.7
Customer 130,2025-02,446.34
Customer 131,2025-02,3306.85
Customer 132,2025-02,6018.73
Customer 133,2025-02,3161.65
Customer 134,2025-02,986.38
Customer 135,2025-02,2571.46
Customer 136,2025-02,1897.55
Customer 137,2025-02,2615.6
Customer 138,2025-02,2475.64
Customer 139,2025-02,2408.32
Customer 140,2025-02,1305.09
Customer 141,2025-02,1059.65
Customer 142,2025-02,3554.8
Customer 143,2025-02,320.23
Customer 144,2025-02,1393.31
Customer 145,2025-02,1106.54
Customer 146,2025-02,1135.01
Customer 147,2025-02,1898.17
Customer 148,2025-02,866.72
Customer 149,2025-02,2815.87
Customer 150,2025-02,10451.66
Customer 151,2025-02,1757.64
Customer 152,2025-02,16463.46
Customer 153,2025-02,585.11
Customer 154,2025-02,1408.69
Customer 155,2025-02,7737.66
Customer 156,2025-02,1734.42
Customer 157,2025-02,5234.13
Customer 158,2025-02,1918.14
Customer 159,2025-02,102.52
Customer 160,2025-02,906.51
Customer 161,2025-02,1074.74
Customer 162,2025-02,840.2
Customer 163,2025-02,635.26
Customer 164,2025-02,3178.89
Customer 165,2025-02,1380.9
Customer 166,2025-02,4870.18
Customer 167,2025-02,2397.95
Customer 168,2025-02,575.79
Customer 169,2025-02,1619.47
Customer 170,2025-02,717.4
Customer 171,2025-02,1186.64
Customer 172,2025-02,2939.02
Customer 173,2025-02,2453.28
Customer 174,2025-02,871.29
Customer 175,2025-02,34377.93
Customer 176,2025-02,786.54
Customer 177,2025-02,729.98
Customer 178,2025-02,1170.36
Customer 179,2025-02,1236.16
Customer 180,2025-02,5269.99
Customer 181,2025-02,351.83
Customer 182,2025-02,6553.89
Customer 183,2025-02,7798.56
Customer 184,2025-02,3989.87
Customer 185,2025-02,5106.81
Customer 186,2025-02,1546.7
Customer 187,2025-02,892.61
Customer 188,2025-02,3762.79
Customer 189,2025-02,4861.36
Customer 190,2025-02,920.0
Customer 191,2025-02,756.28
Customer 192,2025-02,17144.81
Customer 193,2025-02,6792.02
Customer 194,2025-02,1151.03
Customer 196,2025-02,1820.19
Customer 197,2025-02,11306.32
Customer 198,2025-02,2713.2
Customer 199,2025-02,489.89
Customer 200,2025-02,301.14
Customer 201,2025-02,1535.08
Customer 203,2025-02,1214.14
Customer 204,2025-02,2110.42
Customer 205,2025-02,808.68
Customer 206,2025-02,1605.01
Customer 207,2025-02,1231.17
Customer 208,2025-02,496.59
Customer 209,2025-02,849.31
Customer 210,2025-02,3988.5
Customer 211,2025-02,3034.2
Customer 212,2025-02,6232.61
Customer 213,2025-02,7699.11
Customer 214,2025-02,6457.42
Customer 215,2025-02,5817.24
Customer 216,2025-02,1306.01
Customer 217,2025-02,2501.85
Customer 218,2025-02,1334.35
Customer 219,2025-02,1508.11
Customer 220,2025-02,4805.73
Customer 221,2025-02,1334.55
Customer 222,2025-02,11125.56
Customer 223,2025-02,926.09
Customer 224,2025-02,6902.0
Customer 225,2025-02,7506.95
Customer 226,2025-02,4379.8
Customer 227,2025-02,1459.58
Customer 228,2025-02,1689.57
Customer 229,2025-02,6998.26
Customer 230,2025-02,292.52
Customer 231,2025-02,1342.89
Customer 232,2025-02,2141.55
Customer 233,2025-02,1328.8
Customer 234,2025-02,844.26
Customer 235,2025-02,1939.44
Customer 236,2025-02,3936.95
Customer 237,2025-02,2803.87
Customer 238,2025-02,701.26
Customer 239,2025-02,2980.68
Customer 240,2025-02,1644.15
Customer 241,2025-02,3079.51
Customer 242,2025-02,2328.33
Customer 243,2025-02,2010.07
Customer 244,2025-02,656.53
Customer 245,2025-02,12669.52
Customer 246,2025-02,2250.22
Customer 247,2025-02,764.39
Customer 248,2025-02,15349.88
Customer 249,2025-02,26213.34
Customer 250,2025-02,3372.88
Customer 251,2025-02,1327.52
Customer 252,2025-02,912.74
Customer 253,2025-02,3741.97
Customer 254,2025-02,4964.58
Customer 255,2025-02,2542.54
Customer 256,2025-02,24905.35
Customer 257,2025-02,7518.92
Customer 258,2025-02,600.38
Customer 259,2025-02,17031.88
Customer 260,2025-02,1361.46
Customer 261,2025-02,1890.26
Customer 262,2025-02,2719.04
Customer 263,2025-02,1140.72
Customer 264,2025-02,2495.74
Customer 265,2025-02,1666.82
Customer 266,2025-02,2478.03
Customer 267,2025-02,4246.62
Customer 268,2025-02,1823.23
Customer 269,2025-02,8050.67
Customer 270,2025-02,576.07
Customer 271,2025-02,1579.34
Customer 272,2025-02,2226.38
Customer 273,2025-02,1216.23
Customer 274,2025-02,14842.66
Customer 275,2025-02,872.02
Customer 276,2025-02,2701.69
Customer 277,2025-02,3763.71
Customer 278,2025-02,5596.24
Customer 279,2025-02,1057.07
Customer 280,2025-02,1429.52
Customer 281,2025-02,929.29
Customer 282,2025-02,2121.72
Customer 283,2025-02,1709.48
Customer 284,2025-02,7186.26
Customer 285,2025-02,1662.46
Customer 286,2025-02,2074.7
Customer 287,2025-02,2879.35
Customer 288,2025-02,1964.96
Customer 289,2025-02,715.36
Customer 290,2025-02,1141.88
Customer 291,2025-02,1310.17
Customer 292,2025-02,2201.42
Customer 293,2025-02,2373.78
Customer 294,2025-02,1226.74
Customer 295,2025-02,1478.66
Customer 296,2025-02,745.44
Customer 297,2025-02,1356.5
Customer 298,2025-02,4405.73
Customer 299,2025-02,16695.02
Customer 300,2025-02,1781.19
Customer 301,2025-02,5849.0
Customer 302,2025-02,866.22
Customer 303,2025-02,2602.27
Customer 304,2025-02,568.69
Customer 305,2025-02,2864.07
Customer 306,2025-02,1806.07
Customer 307,2025-02,664.38
Customer 308,2025-02,8445.54
Customer 309,2025-02,2976.23
Customer 310,2025-02,1166.69
Customer 311,2025-02,4548.27
Customer 312,2025-02,2022.37
Customer 313,2025-02,758.03
Customer 314,2025-02,2401.31
Customer 315,2025-02,720.74
Customer 316,2025-02,1061.0
Customer 317,2025-02,3094.16
Customer 318,2025-02,2030.97
Customer 319,2025-02,23235.45
Customer 320,2025-02,666.16
Customer 321,2025-02,709.72
Customer 322,2025-02,3712.56
Customer 323,2025-02,1042.3
Customer 324,2025-02,3430.14
Customer 325,2025-02,486.76
Customer 326,2025-02,4872.6
Customer 327,2025-02,5138.16
Customer 328,2025-02,1781.89
Customer 329,2025-02,3678.66
Customer 330,2025-02,4668.62
Customer 331,2025-02,5188.8
Customer 332,2025-02,974.68
Customer 333,2025-02,477.69
Customer 334,2025-02,3156.13
Customer 335,2025-02,3931.22
Customer 336,2025-02,1285.4
Customer 337,2025-02,1073.22
Customer 338,2025-02,2780.31
Customer 339,2025-02,1446.23
Customer 340,2025-02,2603.8
Customer 341,2025-02,1822.42
Customer 342,2025-02,842.94
Customer 343,2025-02,6374.32
Customer 344,2025-02,1013.18
Customer 345,2025-02,1437.41
Customer 346,2025-02,1456.32
Customer 347,2025-02,2136.89
Customer 348,2025-02,3487.67
Customer 001,2025-03,594.58
Customer 002,2025-03,848.98
Customer 003,2025-03,994.84
Customer 004,2025-03,2155.75
Customer 005,2025-03,4157.84
Customer 006,2025-03,3773.04
Customer 007,2025-03,1831.77
Customer 008,2025-03,3376.68
Customer 009,2025-03,1184.24
Customer 010,2025-03,1173.31
Customer 011,2025-03,2472.42
Customer 012,2025-03,1357.85
Customer 013,2025-03,4500.85
Customer 014,2025-03,1298.05
Customer 015,2025-03,3305.56
Customer 016,2025-03,6424.4
Customer 017,2025-03,2450.78
Customer 018,2025-03,5010.86
Customer 019,2025-03,950.0
Customer 020,2025-03,4621.22
Customer 021,2025-03,1212.42
Customer 022,2025-03,1325.41
Customer 023,2025-03,1322.91
Customer 024,2025-03,8622.6
Customer 025,2025-03,2218.79
Customer 026,2025-03,3612.22
Customer 027,2025-03,4355.02
Customer 028,2025-03,4255.12
Customer 029,2025-03,1651.2
Customer 030,2025-03,6444.07
Customer 031,2025-03,980.29
Customer 032,2025-03,816.16
Customer 033,2025-03,166.79
Customer 034,2025-03,8048.22
Customer 035,2025-03,11661.02
Customer 036,2025-03,4713.11
Customer 037,2025-03,1487.74
Customer 038,2025-03,877.47
Customer 039,2025-03,834.7
Customer 040,2025-03,3040.73
Customer 041,2025-03,31417.07
Customer 042,2025-03,461.08
Customer 043,2025-03,794.86
Customer 044,2025-03,5762.83
Customer 045,2025-03,1036.26
Customer 046,2025-03,1263.19
Customer 047,2025-03,7018.08
Customer 048,2025-03,10618.87
Customer 049,2025-03,24578.62
Customer 050,2025-03,1224.51
Customer 051,2025-03,7742.92
Customer 052,2025-03,1406.48
Customer 053,2025-03,1430.8
Customer 054,2025-03,4728.98
Customer 055,2025-03,1807.79
Customer 056,2025-03,1723.94
Customer 057,2025-03,766.37
Customer 058,2025-03,1480.46
Customer 059,2025-03,3170.82
Customer 060,2025-03,2594.6
Customer 061,2025-03,515.96
Customer 062,2025-03,7504.25
Customer 063,2025-03,2114.42
Customer 064,2025-03,461.17
Customer 065,2025-03,5831.26
Customer 066,2025-03,971.82
Customer 067,2025-03,5007.65
Customer 068,2025-03,1220.32
Customer 069,2025-03,1278.47
Customer 070,2025-03,2722.9
Customer 072,2025-03,802.18
Customer 073,2025-03,2867.82
Customer 074,2025-03,763.3
Customer 075,2025-03,2253.18
Customer 076,2025-03,2610.85
Customer 077,2025-03,3310.57
Customer 078,2025-03,2563.16
Customer 079,2025-03,9693.83
Customer 080,2025-03,2861.68
Customer 082,2025-03,1114.48
Customer 083,2025-03,1015.24
Customer 084,2025-03,2716.1
Customer 085,2025-03,3147.56
Customer 086,2025-03,832.54
Customer 087,2025-03,5154.55
Customer 088,2025-03,1656.65
Customer 089,2025-03,1772.21
Customer 090,2025-03,1460.85
Customer 091,2025-03,2009.96
Customer 092,2025-03,915.97
Customer 093,2025-03,1980.17
Customer 094,2025-03,921.52
Customer 095,2025-03,1366.24
Customer 096,2025-03,2533.13
Customer 097,2025-03,705.97
Customer 098,2025-03,3633.03
Customer 099,2025-03,1260.74
Customer 100,2025-03,4900.49
Customer 101,2025-03,2036.01
Customer 102,2025-03,746.74
Customer 103,2025-03,750.82
Customer 104,2025-03,3399.49
Customer 105,2025-03,4519.86
Customer 106,2025-03,860.81
Customer 107,2025-03,1140.22
Customer 108,2025-03,1390.06
Customer 109,2025-03,521.67
Customer 110,2025-03,1311.59
Customer 111,2025-03,10979.0
Customer 112,2025-03,558.95
Customer 113,2025-03,2315.65
Customer 114,2025-03,3589.75
Customer 115,2025-03,873.09
Customer 116,2025-03,1544.11
Customer 117,2025-03,2004.13
Customer 118,2025-03,4606.45
Customer 119,2025-03,1071.32
Customer 120,2025-03,672.37
Customer 121,2025-03,886.55
Customer 122,2025-03,1063.44
Customer 123,2025-03,1590.14
Customer 124,2025-03,8347.84
Customer 125,2025-03,1973.69
Customer 126,2025-03,1769.34
Customer 127,2025-03,1276.14
Customer 128,2025-03,1121.83
Customer 129,2025-03,826.7
Customer 130,2025-03,446.34
Customer 131,2025-03,3306.85
Customer 132,2025-03,6018.73
Customer 133,2025-03,3161.65
Customer 134,2025-03,986.38
Customer 135,2025-03,2571.46
Customer 136,2025-03,1897.55
Customer 137,2025-03,2615.6
Customer 138,2025-03,2475.64
Customer 139,2025-03,2408.32
Customer 140,2025-03,1305.09
Customer 141,2025-03,1059.65
Customer 142,2025-03,3554.8
Customer 143,2025-03,320.23
Customer 144,2025-03,1393.31
Customer 145,2025-03,1106.54
Customer 146,2025-03,1135.01
Customer 147,2025-03,1898.17
Customer 148,2025-03,866.72
Customer 150,2025-03,10451.66
Customer 151,2025-03,1537.47
Customer 152,2025-03,16463.46
Customer 153,2025-03,585.11
Customer 154,2025-03,1273.58
Customer 155,2025-03,7737.66
Customer 156,2025-03,1734.42
Customer 157,2025-03,5234.13
Customer 158,2025-03,2129.39
Customer 159,2025-03,93.03
Customer 160,2025-03,906.51
Customer 161,2025-03,1074.74
Customer 162,2025-03,840.2
Customer 163,2025-03,707.35
Customer 164,2025-03,3178.89
Customer 165,2025-03,1380.9
Customer 166,2025-03,4870.18
Customer 167,2025-03,2699.47
Customer 168,2025-03,575.79
Customer 169,2025-03,1619.47
Customer 170,2025-03,717.4
Customer 171,2025-03,1186.64
Customer 172,2025-03,2939.02
Customer 173,2025-03,2453.28
Customer 174,2025-03,871.29
Customer 175,2025-03,34377.93
Customer 176,2025-03,786.54
Customer 178,2025-03,1170.36
Customer 179,2025-03,1236.16
Customer 180,2025-03,5269.99
Customer 181,2025-03,351.83
Customer 182,2025-03,6008.56
Customer 183,2025-03,7798.56
Customer 184,2025-03,3989.87
Customer 185,2025-03,4882.63
Customer 186,2025-03,1546.7
Customer 187,2025-03,892.61
Customer 188,2025-03,3762.79
Customer 189,2025-03,4861.36
Customer 190,2025-03,920.0
Customer 191,2025-03,756.28
Customer 192,2025-03,17144.81
Customer 193,2025-03,6792.02
Customer 194,2025-03,1151.03
Customer 196,2025-03,1820.19
Customer 197,2025-03,11306.32
Customer 198,2025-03,2713.2
